year_last_seen,case_count
1961.0,1
1971.0,4
1982.0,1
1983.0,1
1984.0,2
1986.0,1
1991.0,2
1993.0,2
1994.0,2
1996.0,1
1997.0,2
1998.0,1
1999.0,2
2001.0,1
2002.0,5
2004.0,2
2005.0,4
2006.0,3
2007.0,16
2008.0,17
2009.0,10
2010.0,14
2011.0,10
2012.0,7
2013.0,9
2014.0,24
2015.0,9
2016.0,10
2018.0,1
2020.0,1
2025.0,4
