geoid,tract_2020,tract_name,total_pop_2010,black_pop_2010,pct_black_2010_percent,total_pop_2020,black_pop_2020,pct_black_2020_percent,black_pop_change,pct_black_change_pp,total_pop_2010_redistrict,black_pop_2010_redistrict,pct_black_2010_percent_redistrict,total_pop_2020_redistrict,black_pop_2020_redistrict,pct_black_2020_percent_redistrict,black_pop_change_redistrict,pct_black_change_pp_redistrict,tract_2010,n_geoid_2010_parents,tract_2010_norm,tract_2020_norm,civilian_labor_force_2010,employed_2010,in_labor_force_2010,population_16_years_and_over_2010,unemployed_2010,civilian_labor_force_2020,employed_2020,in_labor_force_2020,population_16_years_and_over_2020,unemployed_2020,no_2010_baseline,emp_change,lf_change,black_pop_change_used,pct_black_change_pp_used,z_black_disp,z_pct_black_disp,z_emp,z_lf,gri_raw,gri_z,gri_pct,gri_tier,dc_ward,quadrant,missing_gri_data
11001003301,33.01,Census Tract 33.01; District of Columbia; District of Columbia,3198.0,1998.0,62.48,3824,1234,32.27,-764.0,-30.21,3198.0,1998.0,62.48,3824,1234,32.27,-764.0,-30.21,33.01,1,33.01,33.01,1555.333,1253.0,1395.0,2345.0,187.0,2626.0,2290.0,2325.0,3780.0,33.0,False,1037.0,930.0,-764.0,-30.21,1.588,2.047,2.129,1.846,7.609,2.531,0.974,Very High,5,NW,False
11001003302,33.02,Census Tract 33.02; District of Columbia; District of Columbia,2134.0,1216.0,56.98,2434,738,30.32,-478.0,-26.66,2134.0,1216.0,56.98,2434,738,30.32,-478.0,-26.66,33.02,1,33.02,33.02,1373.667,1055.0,1223.5,1941.0,200.0,1237.333,1075.5,1123.5,1838.0,49.0,False,20.5,-100.0,-478.0,-26.66,0.874,1.687,-0.925,-1.29,0.346,0.115,0.597,Moderate,5,NW,False
11001003400,34.0,Census Tract 34; District of Columbia; District of Columbia,4347.0,3392.0,78.03,5120,1923,37.56,-1469.0,-40.47,4347.0,3392.0,78.03,5120,1923,37.56,-1469.0,-40.47,34.0,1,34.0,34.0,1414.333,1009.5,1246.5,4427.0,351.0,2273.667,1998.0,2094.0,4731.0,123.0,False,988.5,847.5,-1469.0,-40.47,3.349,3.086,1.983,1.594,10.013,3.33,0.994,Very High,1,NW,False
11001003500,35.0,Census Tract 35; District of Columbia; District of Columbia,3740.0,2681.0,71.68,4801,1593,33.18,-1088.0,-38.5,3740.0,2681.0,71.68,4801,1593,33.18,-1088.0,-38.5,35.0,1,35.0,35.0,963.0,742.5,839.5,1940.0,143.0,2285.0,1826.5,2041.5,4557.0,248.0,False,1084.0,1202.0,-1088.0,-38.5,2.397,2.887,2.27,2.674,10.228,3.402,1.0,Very High,1,NW,False
11001003600,36.0,Census Tract 36; District of Columbia; District of Columbia,4208.0,1645.0,39.09,4775,1373,28.75,-272.0,-10.34,4208.0,1645.0,39.09,4775,1373,28.75,-272.0,-10.34,36.0,1,36.0,36.0,2201.333,1843.5,1968.5,3564.0,151.0,3141.667,2750.5,2873.0,4483.0,144.0,False,907.0,904.5,-272.0,-10.34,0.359,0.033,1.739,1.768,3.899,1.297,0.903,Very High,1,NW,False
11001003701,37.01,Census Tract 37.01; District of Columbia; District of Columbia,,,,2916,546,18.72,,,,,,2916,546,18.72,,,37.01,0,37.01,37.01,,,,,,1481.667,1290.5,1308.0,2142.0,35.0,True,,,,,,,,,,,,,1,NW,True
11001003702,37.02,Census Tract 37.02; District of Columbia; District of Columbia,,,,2906,1111,38.23,,,,,,2906,1111,38.23,,,37.02,0,37.02,37.02,,,,,,1230.333,929.5,1140.0,1859.0,245.0,True,,,,,,,,,,,,,1,NW,True
11001003801,38.01,Census Tract 38.01; District of Columbia; District of Columbia,,,,1800,217,12.06,,,,,,1800,217,12.06,,,38.01,0,38.01,38.01,,,,,,1126.0,999.5,1025.0,1489.0,33.0,True,,,,,,,,,,,,,1,NW,True
11001003802,38.02,Census Tract 38.02; District of Columbia; District of Columbia,,,,3911,658,16.82,,,,,,3911,658,16.82,,,38.02,0,38.02,38.02,,,,,,2124.0,1870.5,1876.5,2980.0,12.0,True,,,,,,,,,,,,,1,NW,True
11001003901,39.01,Census Tract 39.01; District of Columbia; District of Columbia,,,,2598,340,13.09,,,,,,2598,340,13.09,,,39.01,0,39.01,39.01,,,,,,1863.0,1706.5,1707.5,2393.0,2.0,True,,,,,,,,,,,,,1,NW,True
11001003902,39.02,Census Tract 39.02; District of Columbia; District of Columbia,,,,2022,161,7.96,,,,,,2022,161,7.96,,,39.02,0,39.02,39.02,,,,,,1427.333,1263.0,1267.0,2020.0,8.0,True,,,,,,,,,,,,,1,NW,True
11001004001,40.01,Census Tract 40.01; District of Columbia; District of Columbia,3745.0,139.0,3.71,3941,137,3.48,-2.0,-0.23,3745.0,139.0,3.71,3941,137,3.48,-2.0,-0.23,40.01,1,40.01,40.01,2280.333,1976.0,2049.5,3037.0,116.0,3324.0,2871.0,2966.5,4338.0,101.0,False,895.0,917.0,-2.0,-0.23,-0.315,-0.992,1.703,1.806,2.202,0.732,0.812,High,1,NW,False
11001004002,40.02,Census Tract 40.02; District of Columbia; District of Columbia,2797.0,226.0,8.08,3291,190,5.77,-36.0,-2.31,2797.0,226.0,8.08,3291,190,5.77,-36.0,-2.31,40.02,1,40.02,40.02,1604.667,1426.5,1447.5,2218.0,26.0,2422.0,2154.5,2225.5,3179.0,87.0,False,728.0,778.0,-36.0,-2.31,-0.23,-0.781,1.201,1.383,1.573,0.523,0.747,Moderate,1,NW,False
11001004100,41.0,Census Tract 41; District of Columbia; District of Columbia,2708.0,115.0,4.25,2836,120,4.23,5.0,-0.02,2708.0,115.0,4.25,2836,120,4.23,5.0,-0.02,41.0,1,41.0,41.0,1610.333,1376.5,1447.5,2478.0,92.0,1345.667,1192.0,1231.5,2134.0,38.0,False,-184.5,-216.0,5.0,-0.02,-0.332,-1.013,-1.541,-1.643,-4.529,-1.506,0.026,Very Low,2,NW,False
11001004201,42.01,Census Tract 42.01; District of Columbia; District of Columbia,3342.0,240.0,7.18,3548,195,5.5,-45.0,-1.68,3342.0,240.0,7.18,3548,195,5.5,-45.0,-1.68,42.01,1,42.01,42.01,2372.667,2051.5,2087.5,3383.0,63.0,2629.333,2336.5,2345.5,3421.0,9.0,False,285.0,258.0,-45.0,-1.68,-0.208,-0.845,-0.13,-0.2,-1.383,-0.46,0.344,Low,2,NW,False
11001004202,42.02,Census Tract 42.02; District of Columbia; District of Columbia,2771.0,129.0,4.66,2850,113,3.96,-16.0,-0.7,2771.0,129.0,4.66,2850,113,3.96,-16.0,-0.7,42.02,1,42.02,42.02,1624.0,1434.5,1481.0,2276.0,62.0,1620.667,1409.5,1459.0,2573.0,57.0,False,-25.0,-22.0,-16.0,-0.7,-0.28,-0.944,-1.061,-1.052,-3.338,-1.11,0.136,Very Low,2,NW,False
11001004300,43.0,Census Tract 43; District of Columbia; District of Columbia,3255.0,901.0,27.68,4436,834,18.8,-67.0,-8.88,3255.0,901.0,27.68,4436,834,18.8,-67.0,-8.88,43.0,1,43.0,43.0,1660.0,1416.0,1504.5,2741.0,100.0,2591.333,2373.5,2373.5,3642.0,0.0,False,957.5,869.0,-67.0,-8.88,-0.153,-0.115,1.89,1.66,3.282,1.092,0.87,High,2,NW,False
11001004401,44.01,Census Tract 44.01; District of Columbia; District of Columbia,,,,3430,358,10.44,,,,,,3430,358,10.44,,,44.01,0,44.01,44.01,,,,,,2179.667,1915.0,1948.0,2901.0,33.0,True,,,,,,,,,,,,,1,NW,True
11001004402,44.02,Census Tract 44.02; District of Columbia; District of Columbia,,,,2755,488,17.71,,,,,,2755,488,17.71,,,44.02,0,44.02,44.02,,,,,,1319.333,904.0,1180.5,2268.0,336.0,True,,,,,,,,,,,,,1,NW,True
11001004600,46.0,Census Tract 46; District of Columbia; District of Columbia,3028.0,1964.0,64.86,3543,1530,43.18,-434.0,-21.68,3028.0,1964.0,64.86,3543,1530,43.18,-434.0,-21.68,46.0,1,46.0,46.0,1352.667,1116.0,1252.5,2147.0,139.0,1832.667,1560.5,1637.0,2814.0,99.0,False,444.5,384.5,-434.0,-21.68,0.764,1.182,0.349,0.185,2.48,0.825,0.844,High,5,NW,False
11001004702,47.02,Census Tract 47.02; District of Columbia; District of Columbia,1802.0,853.0,47.34,3934,777,19.75,-76.0,-27.59,1802.0,853.0,47.34,3934,777,19.75,-76.0,-27.59,47.02,1,47.02,47.02,795.0,579.0,719.0,1496.0,222.0,2443.0,2134.0,2235.5,3518.0,108.0,False,1555.0,1516.5,-76.0,-27.59,-0.13,1.781,3.685,3.631,8.967,2.982,0.987,Very High,6,NW,False
11001004703,47.03,Census Tract 47.03; District of Columbia; District of Columbia,,,,3331,803,24.11,,,,,,3331,803,24.11,,,47.03,0,47.03,47.03,,,,,,1690.0,1488.5,1550.0,2726.0,37.0,True,,,,,,,,,,,,,6,NW,True
11001004704,47.04,Census Tract 47.04; District of Columbia; District of Columbia,,,,1945,1710,87.92,,,,,,1945,1710,87.92,,,47.04,0,47.04,47.04,,,,,,365.0,133.0,357.0,1049.0,224.0,True,,,,,,,,,,,,,6,NW,True
11001004801,48.01,Census Tract 48.01; District of Columbia; District of Columbia,2143.0,961.0,44.84,2820,759,26.91,-202.0,-17.93,2143.0,961.0,44.84,2820,759,26.91,-202.0,-17.93,48.01,1,48.01,48.01,1018.333,844.5,935.5,1690.0,95.0,1666.0,1371.5,1453.5,2848.0,128.0,False,527.0,518.0,-202.0,-17.93,0.185,0.802,0.597,0.592,2.175,0.723,0.805,High,2,NW,False
11001004802,48.02,Census Tract 48.02; District of Columbia; District of Columbia,2922.0,1464.0,50.1,3634,1550,42.65,86.0,-7.45,2922.0,1464.0,50.1,3634,1550,42.65,86.0,-7.45,48.02,1,48.02,48.02,1662.333,1368.5,1496.0,2613.0,153.0,2013.333,1808.0,1825.0,3052.0,8.0,False,439.5,329.0,86.0,-7.45,-0.535,-0.26,0.334,0.016,-0.445,-0.148,0.481,Low,2,NW,False
