Corridor,Cases,Percent,corridor,length_km,Cases_per_km
Suitland Parkway,37,20.2,Suitland Parkway,4.959338828871877,7.460671931628547
New York Avenue,11,6.0,New York Avenue,1.5150286147551602,7.26058893731039
Kenilworth Avenue,32,17.5,Kenilworth Avenue,6.604948422080483,4.844852367510293
I-395,43,23.5,I-395,10.384313188572488,4.140861241292273
I-695,12,6.6,I-695,6.902269562998094,1.7385585843140612
I-295 / Anacostia,38,20.8,I-295 / Anacostia,23.10882538607076,1.6443934023104936
I-66,4,2.2,I-66,6.243184951638504,0.6406986227358542
Other,6,3.3,Other,14.314528301641909,0.41915457314173504
