Predictor,Coefficient (β),Standard Error,z,p-value,95% CI Lower,95% CI Upper
const,0.24511913112703776,0.1569719202625284,1.561547636781707,0.11839459332090348,-0.06254017917161103,0.5527784414256866
dist_interstate_m,-0.000200839224582588,6.742047779883926e-05,-2.978905388090349,0.0028928008553293937,-0.00033298093288879527,-6.869751627638075e-05
