model,predictor,coefficient,standard_error,z,p_value,ci_lower,ci_upper,irr,significant
Poisson Model A,Distance to Interstate Highway (km),-0.14660043073964726,0.04822715040629358,-3.039790439712899,0.0023674281291811137,-0.24112390861297892,-0.05207695286631561,0.8636389920763786,True
Negative Binomial Model A,Distance to Interstate Highway (km),-0.16616329198711696,0.06781578310715994,-2.450215633793567,0.014277068522117664,-0.29907978446053024,-0.033246799513703684,0.8469079296189603,True
Negative Binomial Model B,Employment Stability (z-score),-0.09776690234672446,0.12938842833416572,-0.7556077742456708,0.44988439341140696,-0.35136356189793116,0.15582975720448222,0.9068602661188094,False
Poisson Model C,Distance to Interstate Highway (km),-0.14569790656996037,0.048767349492078116,-2.9876117543281264,0.0028116647923830803,-0.24128015519591117,-0.05011565794400957,0.8644187989849703,True
Poisson Model C,Employment Stability (z-score),-0.010442216075419591,0.08662098172915154,-0.12055065489872362,0.9040469553747068,-0.18021622057005868,0.1593317884192195,0.9896121145875757,False
Negative Binomial Model C,Distance to Interstate Highway (km),-0.16170015246192784,0.06829787395656392,-2.36757226974248,0.017905222701443794,-0.29556152563744925,-0.027838779286406434,0.850696245476477,True
Negative Binomial Model C,Employment Stability (z-score),-0.06685741922662003,0.12953203947880956,-0.5161458083701167,0.6057525760117191,-0.3207355514491072,0.18702071299586714,0.9353285516982173,False
