predictor,IRR,irr_ci_lower,irr_ci_upper,p_value
const,0.0008812880503489682,0.0006223747970714207,0.0012479114375172217,0.0
dist_km,0.850696245476477,0.7441136312492042,0.9725451485855287,0.017905222701443794
z_emp,0.9353285516982173,0.7256151134854107,1.2056522574615232,0.6057525760117191
